wilaya_code,wilaya_name,commune_name,zone_sismique,zone_source,lat,lon,coordinate_source
01,ADRAR,OULED AHMED TIMI,0,rpa99_annex,,,missing
03,LAGHOUAT,HASSI DHELAA,I,rpa99_annex,,,missing
05,BATNA,INOUGHISSENE,I,rpa99_annex,,,missing
05,BATNA,NGAOUS,I,rpa99_annex,,,missing
05,BATNA,TIGHARGHAR,I,rpa99_annex,,,missing
06,BEJAIA,BENI MELIKECH,IIa,rpa99_annex,,,missing
06,BEJAIA,CHELATA,IIa,rpa99_annex,,,missing
06,BEJAIA,IFELAIN ILMATHEN,IIa,rpa99_annex,,,missing
06,BEJAIA,TIMZRIT,IIa,rpa99_annex,,,missing
06,BEJAIA,TIZI NBERBER,IIa,rpa99_annex,,,missing
10,BOUIRA,BORDJ OUKHRISS,IIa,rpa99_annex,,,missing
10,BOUIRA,DJISR KSENTINA,IIa,rpa99_annex,,,missing
11,TAMENRASSET,DELDOUL ADRAR,0,rpa99_annex,,,missing
12,TEBESSA,MORSOT,I,rpa99_annex,,,missing
14,TIARET,MACHRAA SFA,I,rpa99_annex,,,missing
15,TIZI OUZOU,AGHNI GOUGHRAN,IIa,rpa99_annex,,,missing
15,TIZI OUZOU,AIT CHAFFAA,IIa,rpa99_annex,,,missing
15,TIZI OUZOU,HARAOUA,IIa,rpa99_annex,,,missing
15,TIZI OUZOU,MAATKA,IIa,rpa99_annex,,,missing
15,TIZI OUZOU,TIZI NTHLETA,IIa,rpa99_annex,,,missing
16,ALGER,AKABILI,III,rpa99_annex,,,missing
16,ALGER,BACH DJERRAH,III,rpa99_annex,,,missing
16,ALGER,BENDJERRAH,III,rpa99_annex,,,missing
16,ALGER,BORDJ EL HAOUES,III,rpa99_annex,,,missing
16,ALGER,CHERAGA MILA,III,rpa99_annex,,,missing
16,ALGER,DJISR KSENTINA,III,rpa99_annex,,,missing
16,ALGER,DRAA ESSMAR,III,rpa99_annex,,,missing
16,ALGER,HAMMA ANASSERS,III,rpa99_annex,,,missing
16,ALGER,HARAOUA,III,rpa99_annex,,,missing
16,ALGER,TERRAI BAINEM,III,rpa99_annex,,,missing
17,DJELFA,AIN OUESSARA,I,rpa99_annex,,,missing
17,DJELFA,DJISR KSENTINA,I,rpa99_annex,,,missing
17,DJELFA,SIDI LAADJEL,I,rpa99_annex,,,missing
18,JIJEL,BORDJ TAHER,IIa,rpa99_annex,,,missing
18,JIJEL,BOUSSIF OULED AKSEUR,IIa,rpa99_annex,,,missing
18,JIJEL,CHEBBALA MILAT,IIa,rpa99_annex,,,missing
18,JIJEL,KIMIR OUED ADJOUL,IIa,rpa99_annex,,,missing
19,SETIF,GUENZET TASSAMEURT,IIa,rpa99_annex,,,missing
19,SETIF,HAMMAM SKHOUNA,IIa,rpa99_annex,,,missing
19,SETIF,TIZI NBECHAR,IIa,rpa99_annex,,,missing
19,SETIF,TIZI NBERBER,IIa,rpa99_annex,,,missing
21,SKIKDA,FIL FILA,IIa,rpa99_annex,,,missing
21,SKIKDA,ZERDEZAS,IIa,rpa99_annex,,,missing
23,ANNABA,BERRAHEL,IIa,rpa99_annex,,,missing
24,GUELMA,BENDJERRAH,IIa,rpa99_annex,,,missing
24,GUELMA,MESAOUD BOUDJERIOU,IIa,rpa99_annex,,,missing
25,CONSTANTINE,MESAOUD BOUDJERIOU,IIa,rpa99_annex,,,missing
26,MEDEA,BOUGHZOUL,I,rpa99_annex,,,missing
26,MEDEA,DRAA ESSMAR,IIb,rpa99_annex,,,missing
26,MEDEA,TLATET ED DOUAIR,IIb,rpa99_annex,,,missing
27,MOSTAGANEM,AIN NOUISSI,IIa,rpa99_annex,,,missing
27,MOSTAGANEM,EL HESSIANE,IIa,rpa99_annex,,,missing
27,MOSTAGANEM,HASSI MAAMECHE,IIa,rpa99_annex,,,missing
27,MOSTAGANEM,MEZAGHRANE,IIa,rpa99_annex,,,missing
27,MOSTAGANEM,OULED MAALAH,IIb,rpa99_annex,,,missing
28,M SILA,BOUTI SAYEH,I,rpa99_annex,,,missing
28,M SILA,MCIF,I,rpa99_annex,,,missing
28,M SILA,OUENOUGHA,I,rpa99_annex,,,missing
29,MASCARA,OUED TAGHIA,IIa,rpa99_annex,,,missing
30,OURGLA,NGOUSSA,0,rpa99_annex,,,missing
31,ORAN,DAR YAGHMOURASSENE,IIa,rpa99_annex,,,missing
34,B.B ARRERIDJ,EL MHIR,IIa,rpa99_annex,,,missing
34,B.B ARRERIDJ,GUENZET TASSAMEURT,IIa,rpa99_annex,,,missing
34,B.B ARRERIDJ,HAMMA ANASSERS,IIa,rpa99_annex,,,missing
34,B.B ARRERIDJ,OULED SIDI BRAHIM B.B ARRERIDJ,IIa,rpa99_annex,,,missing
34,B.B ARRERIDJ,THENIET EL ANSEUR,IIa,rpa99_annex,,,missing
35,BOUMERDES,HARAOUA,III,rpa99_annex,,,missing
35,BOUMERDES,LAGHATA,III,rpa99_annex,,,missing
35,BOUMERDES,TIMZRIT,III,rpa99_annex,,,missing
36,EL TAREF,AKABILI,IIa,rpa99_annex,,,missing
39,EL OUED,TRIFAOU,0,rpa99_annex,,,missing
40,KHENCHELA,MTOUSSA,I,rpa99_annex,,,missing
40,KHENCHELA,TAOUZIANAT,I,rpa99_annex,,,missing
41,SOUK AHRAS,MDAOUROUCHE,I,rpa99_annex,,,missing
42,TIPAZA,HATTATBA,III,rpa99_annex,,,missing
42,TIPAZA,TELAGHMA,III,rpa99_annex,,,missing
43,MILA,AHMED RACHDI,IIa,rpa99_annex,,,missing
43,MILA,CHERAGA MILA,IIa,rpa99_annex,,,missing
43,MILA,DERRADJI BOUSSELAH,IIa,rpa99_annex,,,missing
43,MILA,EL MCHIRA,IIa,rpa99_annex,,,missing
43,MILA,TELAGHMA,IIa,rpa99_annex,,,missing
43,MILA,TERRAI BAINEM,IIa,rpa99_annex,,,missing
44,AIN DEFLA,EL ABBADIA,IIa,rpa99_annex,,,missing
44,AIN DEFLA,EL MAYENE,IIa,rpa99_annex,,,missing
44,AIN DEFLA,TACHTA ZEGARRA,IIa,rpa99_annex,,,missing
44,AIN DEFLA,TAMZOUGHA,IIa,rpa99_annex,,,missing
46,AIN TIMOUCHENT,EL ABBADIA,IIa,rpa99_annex,,,missing
46,AIN TIMOUCHENT,OULHACA GHERRABA AIN TEMOUCHENT,IIa,rpa99_annex,,,missing
46,AIN TIMOUCHENT,TAMZOUGHA,IIa,rpa99_annex,,,missing
48,RELIZANE,SIDI MHAMED BEN ALI RELIZANE,IIa,rpa99_annex,,,missing
51,OULED DJELLAL,BACH DJERRAH,I,inferred_from_parent_wilaya,,,missing
57,EL MGHAIR,EL MGHAIR,0,inferred_from_parent_wilaya,,,missing
